name,account,gang
Thomas Lavergne,@lavergnetho@fediscience.org,"Remote sensing, sea ice, climate"
Andrew Leier,@leierbucks@mindly.social,"Sedimentology, tectonics, paleoclimate, "
Leif Denby,@leifdenby@mas.to,Clouds and their role in Earth's weather and climate
Leonardo Uieda,@leouieda@scicomm.xyz,"Geophysics, open source software"
Lea Hartl,@lhartl@mastodon.social,"glaciology, climatology, meteorology"
Jorge Gines,@lithospheric@mastodon.xyz,"Tectonics, structural geology, remote sensing, natural resources"
Mark Parrington,@m_parrington@airpollution.science,"Impact of wildfires, mineral dust and volcanic eruptions on atmospheric composition and air quality"
Markus Adloff ,@madloff@mas.to,"Palaeoclimate, Carbon cycling"
Maitri Erwin,@maitri@c.im,digital transformation of subsurface data and workflows; geoscience education
Natasha,@mantlerocks@mstdn.social,"Petrology, Geochemistry"
Dr. Fred J. Calef III,@mapperwocky@mapstodon.space,"small fresh impact craters, Mars geology, surface properties, remote sensing, GIS, mapping, landing sites, space exploration, ISRU"
Marco A. Lopez-Sanchez,@marcoalopez@fediscience.org,"Observational, experimental and computational approaches to study the properties of Earth's solid materials"
Maria Jensen,@mariaansine@ohai.social,"sedimentology, modern processes, geomorphology, palaeoclimate"
Martin H. Trauth,@martinhtrauth@fediscience.org,"Paleoclimate, data analysis"
Maria,@MATBGor@mastodon.social,"Volcanoes, igneous petrology, minerals, mathematical modelling, geochemistry"
Matt Lanza,@mattlanza@mstdn.social,Meteorology/Climate
Matt Brueseke,@MattTG@mastodon.social,"Igneous petrology, ore deposits, tectonics"
Rollo Gillespie,@maxvelocity@mastodonapp.uk,"Geoconservation, Early years geo eduction, Geo archaeology,"
David McNamara,@mcnamadd@mastodon.social,"Energy, geothermal, earthquakes, mineralogy, stress"
Michael W. Busch,@michael_w_busch@mastodon.online,"Planetary Science, Asteroids"
Mika McKinnon,@mikamckinnon@mastodon.social,"geophysics, disasters, fieldwork, diversity, accessibility, inclusion, rock identification"
Mike Clare,@MikeAClare@mapstodon.space,"Sedimentology, Marine Geohazards, Landslides, Volcanoes, Microplastics"
Euan,@MindOverMagma@mastodon.scot,"Geochemistry, Volcanology"
Mojtaba Rajabi,@Mojtaba@mastodon.au,"Crustal Stress, Geomechanics, Petrophysics"
Joe Mason,@Moreorloess@mstdn.social,"geomorphology, soils, Quaternary paleoenvironments"
Moritz Ziegler,@moritz@toot.community,"geomechanics, stress field, induced seismicity, uncertainties"
Kerry Nice,@mothlight@fediscience.org,"Urban micro-climate modelling, urban heat, urban vegetation"
Max Planck Institute for Solar System Research,@mpsgoettingen@astrodon.social,"planetary science, solar system"
Mark Wieczorek,@mrak@fosstodon.org,Planetary Science
Marshall,@mrshll@werm.world,"Hydrology forecasting, land conservation and restoration"
Nadine,@NadWGab@masto.to,"Mineralogy, petrology, stromatolites"
Natalie,@natalieanne@mstdn.social,"earthquakes, volcanoes"
Nele Reyniers,@nelereyni@fediscience.org,"hydroclimatology, drought, extremes, water cycle dynamics"
Nico Fröhberg,@NicoFroehberg@fediscience.org,"marine geochemistry, trace metals, ligands, electro chemistry, marine geochemical interfaces"
Nika Shilobod,@NikaShilobod@fediscience.org,"Sedimentology, Palaeoecology, Rivers, Peatlands"
Niklas Jordan,@niklas@niklas.social,"Geohazards, Remote Sensing"
Nina Davtian,@nina_davtian@mastodon.world,"Paleoclimatology, Paleoceanography, Paleoenvironments, Biomarkers"
Dr Nishtha Srivastava,@nishtha_srivastava@techhub.social,"Earthquake, site characterization, earthquake waveform Analysis, volcanoes"
Massi Alvioli,@nocharge@mastodon.uno,"Landslides, Geomorphology, Geomorphometry"
Sashikumar N,@nsashi@mapstodon,"Water Resources Management, Hydrology"
,@OceanAndClimate@fediscience.org,"Oceanography, climate, geochemistry, Marine biogeochemistry, isotope geochemistry, carbon dioxide removal"
Patrick Rafter,@OceanAndClimate@fediscience.org,Oceanography climate paleoceanography paleoclimate marine biogeochemistry carbon dioxide removal CDR
Owen Crawford,@oj_crawford@mastodon.social,General geology and amazing things
oscar,@ojanespelt@mastodont.cat,"hidrogeology, soil contamination, sedimentology and history of geology"
Oliver Lamb,@olamb245@techhub.social,"Volcanology, volcano-seismology, volcano acoustics"
Bryan Tapp,@oldguy52@techhub.social,"Structural geology, geodynamics, GIS, environmental science"
Olivia Graham,@olivocene@mas.to,Geochemistry
Or Bialik,@ombialik@mastodon.world,"Sedimentology, Paleoceanography, Carbonate geochemistry "
Rachel,@onamoraine@mastodon.social,Geomorphology
Paula Marques Figueiredo,@paleoquake@mastodon.social,"Active Tectonics, Earthquakes, Geomorphology, Geochronology"
Paul Karson Alanis,@PaulAlanis@scicomm.xyz,"Volcanology, Seismology, Electromagnetics"
Paul Harnik,@paulharnik@ecoevo.social,Paleobiology; Marine Science; Global Change; Conservation Paleobiology
Paul Knightly,@paulknightly@mstdn.social,Geology
Paul Griffiths,@paultgriffiths@atmoschem.org,"Atmospheric chemistry, air pollution, climate change"
Peter Gleick ,@PeterGleick@fediscience.org,Climate and water 
Peter Wagner,@PeterJWagner6@mastodon.social,Paleobiology
Peter Reiners,@peterreiners@scicomm.xyz,"geochemistry, geochronology, geosolutions for climate change and sustainability"
Phil Goodwin,@philgoodwin@universodon.com,"Climate modelling, climate change, climate sensitivity, sea level rise"
Phil Gopon�,@PhilGopon@sciencemastodon.com�,"Ore Geology, Petrology�"
Philippe Steer,@philippesteer@sciencemastodon.com,"Geomorphology, Active tectonics, Modelling, Geophysics, Remote Sensing, Lidar"
Phoebe Cohen,@phoebefossil@mastodon.sdf.org,Paleontology and Geobiology
Beth Johnson,@planetarypan@tech.lgbt,"earthquakes, volcanoes, education"
Josh Bregy,@prehistormic@fediscience.org,"Multiproxy Paleotempestology, Paleoclimatology, Tropical Cyclones, Coastal/Hydrological Hazards"
Rachel O'Brien,@rachelOB1@mastodon.social,"Atmspheric Chemistry, Air quality, air pollution, aerosol particles"
Rachel,@RachelRocks@mastodon.social,"Mineralogy, history of geology, tectonics, geomorphology, meteoritics, data science, Scottish and NZ geology"
RandomOzChron,@RandomOzChron@botsin.space,Bot | Geochronology
Raphael Grandin,@RaphaelGrandin@social.linux.pizza,"#geophysics, #tectonics, #earthquakes, #volcanoes, #geodesy, #NaturalHazards, #RemoteSensing, #InSAR"
Reed Maxwell,@ReedMaxwell@mastodon.social,Hydrology
Santiago Andres Triana,@repepo@astrodon.social,"Core dynamics, length of day variations, nutations, polar motion."
Ramesh Glückler,@rglueckler@fediscience.org,"Paleoecology, lake sediments, wildfires"
Martin,@rhinog@toot.wales,Geology (as amateur)
Richard Betts,@richardabetts@universeodon.com,Climate change
Suzanne Walther,@rivergeomorh@union.place,Fluvial Geomorphology
Robert Selover,@rob@fltd.io,Reservoir modeling
Robin Lacassin,@RobinLacassin@qoto.org,"tectonics, earthquakes, orogeny, landscapes, volcanoes, tsunamis, natural hazards, scicom"
Tim,@rock_jockey@sciencemastodon.com,"sedimentology, stratigraphy, ichnology, economic geology"
Kristy Guerin,@rockdoctorkristy@aus.social,"Geochemistry, mineralogy, critical minerals"
Robbie King,@rocknuts@qoto.org,"metamorphic petrology, metasomatism, fluid flow, isotope geochemistry, geochronology"
Roelof Rietbroek,@roelof@fediscience.org,"geodetic earth observation of the water cycle, sea level and climate"
R. LEON,@rrleon1@mindly.social,
Richard Selwyn Jones,@rs_jones@mstdn.science,"geomorphology, geochronology, glaciers, paleoclimate, sea level"
Ruth Mottram,@ruth_mottram@fediscience.org,glaciology
Mackenzie Fiss,@sacrebluecarbon@fediscience.org,"Biogeochemistry, carbon cycling, salt marshes"
SakuRainbow,@SakuRainbow@ieji.de,"Volcanoes, earthquakes, scicomm"
Rachelle Kernen,@salt_sed_belle@aus.social,"Salt, sedimentology, stratigraphy"
Sandra Passchier,@Sandra_Passchier@fediscience.org,"sedimentology, glacial and marine geology, paleoclimatology"
Sandra McLaren,@sandramcgeo@aus.social,"Tectonics, structural geology, surface processes, landscapes"
Santiago,@sangasso@airpollution.science,"atmospheric science, aerosols, clouds, atmospheric remote sensing, polarization, biogeochemical cycles,ÔøΩ"
Robbi Bishop-Taylor,@SatelliteSci@mapstodon.space,"Earth Observation, remote sensing, coastal geomorphology"
Bob McIntosh,@scotfot@mastodon.scot,Digitization and web delivery of documentary and material geoscience collections. History of geology
Scott Doering,@Scott_wx@universeodon.com,"Meteorologist, Weather Historian, historical earthquakes, disaster preparedness"
Katie Farnsworth,@scseamonkies@mstdn.social,"coastal sedimentology, hydrology, stormwater"
HyeJeong Kim,@seair_hjkim@mstdn.jp,"seismology, ocean bottom seismometers"
Catherine Russell,@seddyrocks@mstdn.party,"Sedimentology, Anthropocene"
Juliet Sefton,@SeftonGeo@aus.social,"Sea level, paleoclimate, mangrove, sedimentology, ice sheets"
Christopher Jackson,@Seis_matters@mastodon.social,Sedimentary basin analysis
Adam Pascale,@seislologist@qoto.org,"Earthquakes, instrumental seismology"
Laura Ermert,@seismic_noise@scicomm.xyz,Seismology
Amy Gilligan,@seismo_amy@scicomm.xyz,"Seismology, Geophysics, Tectonics"
Julian Lozos,@seismogenic@mastodon.online,Earthquakes
Paul Denton,@Seismopaul@mastodon.online,"Seismology, earthquakes, education"
Martin Zeckra,@SeismoTick@mstdn.science,"seismology, earthquakes, site-characterization, tectonics, mountain building"
Andy,@SFBoilermaker@sfba.social,"Geomorphology, Quaternary tectonics, geologic mapping"
Sandra Powers,@sfoxx@mas.to,"mineral exploration, ore deposits, tectonics..."
Stephanie Girardclos,@sgirardclos@mastodon.top,"lake sedimentology, Quaternary, Anthropocene, mass transport"
Scott ,@shmermel@mastodon.online,"Mineralogy, earth processes in general "
Bill Minarik,@silicatefondue@fosstodon.org,"geochemistry, mantle petrology, citizen science"
Simon Carn,@simoncarn@mastodon.social,"Volcanology, remote sensing"
Simon Goring,@simonjgoring@ecoevo.social,"geoinformatics, paleoecology, outreach, education, DEI"
Sean Mulcahy,@srmulcahy@mastodon.social,"metamorphic petrology, structural geology, tectonics"
Stefano Maffei,@stefano_maffei@universeodon.com,"Geophysics, core dynamics, geomagnetism, fluid dynamics, planetary science"
Stephen Hui,@stephenhui@mstdn.ca,"geomorphology, orology, glaciology, volcanology"
Steve (Steven J. Gibbons in formal places),@stevenjgibbons@oslo.town,"Seismology, tsunami, landslides, natural hazards, earthquakes,"
Steve C. Wang,@SteveWang251@fediscience.org,statistical paleontology
Sophie Bodek,@StreamOfSophie@mstdn.science,"Fluvial Geomorphology, Environmental Fluid Mechanics, Sediment Transport"
Kim Hannula,@stressrelated@mastodon.social,"Structural geology, geoscience education"
R Subramanian,@subu_caps@airpollution.science,"air pollution, atmospheric chemistry, short-lived climate forcers"
Cindy Lim,@swarls_lim@mastodon.lol,"Earthquakes, seismology, machine learning, geophysics"
Shunsuke Takemura,@takeshun1984@mstdn.jp,"Earthquake Seismology, slow earthquake, ground motion, seismic wave propagation"
Tatiana Ilyina,@Tatiana.Ilyina@mas.to,"carbon cycle, earth system modeling, climate changeÔøΩ"
TC,@TC_Chakraborty@fediscience.org,"Urban climate, Aerosols, Atmosphere-biosphere interactions, remote sensing"
